股票代码,股票名称,类型
000194,银华信用四季红,基金
000205,易方达投资级信用债A,基金
000290,鹏华全球高收益债30%,基金
000311,景顺长城沪深300增强10%,基金
000402,工银瑞信纯债债券A,基金
000563,南方通利债券a,基金
000614,华安德国30（DAX）ETF联接8%,基金
000930,博时黄金ETFI,基金
000968,广发中证养老指数A,基金
001051,上证50ETF,基金
001550,天弘中证医药100指数A,基金
001238,博时招财一号大数据保本混合型,基金
001511,兴全新视野,基金
001568,泰达宏利增利混合,基金
001733,泰达宏利量化增强股票,基金
002449,民生加银量化,基金
040046,纳斯达克100指数20%,基金
100032,富国中证红利指数增强,基金
100056,富国低碳环保,基金
110003,上证50ETF,基金
110026,易方达创业板ETF联接,基金
118002,易方达标普消费品17%,基金
160523,博时安丰18定开债,基金
161024,军工etf,基金
161031,富国中证工业4.0指数分级,基金
270042,纳斯达克100指数20%,基金
270048,广发纯债债券A,基金
340001,兴全可转债全球混合,基金
510880,上证红利etf,基金
519670,银河行业优选,基金
519696,交银环球精选15%,基金
519712,交银阿尔法核心混合,基金
519977,长信可转债债券A,基金
519983,长信量化先锋混合,基金
519985,长信纯债壹号,基金
550018,信诚优质纯债A,基金
700005,平安大华添利债券A,基金
510050,上证50ETF,上海
510300,300EFT,上海
510500,500EFT,上海
510810,上海国企,上海
510900,H股ETF,上海
511010,国泰上证5年期国债ETF,上海
512660,军工etf,上海
512880,证券etf,上海
513100,纳指EFT,上海
513500,标普500,上海
600130,波导股份,上海
600171,上海贝岭,上海
600313,农发种业,上海
600491,龙元建设,上海
600571,DR信雅达,上海
600585,海螺水泥,上海
600604,市北高新,上海
600680,上海普天,上海
600837,海通证券,上海
600872,中炬高新,上海
600999,招商证券,上海
601599,鹿港文化,上海
603029,天鹅股份,上海
603088,宁波精达,上海
603618,杭电股份,上海
603959,百利科技,上海
000055,方大集团,深圳
000554,泰山石油,深圳
000939,凯迪生态,深圳
002104,恒宝股份,深圳
002222,福晶科技,深圳
002276,万马股份,深圳
002405,四维图新,深圳
002440,闰土股份,深圳
002495,佳隆股份,深圳
002673,西部证券,深圳
002772,众兴菌业,深圳
002778,高科石化,深圳
150023,深成指B,深圳
160515,安丰18,深圳
300062,中能电气,深圳
300444,双杰电气,深圳
300483,沃施股份,深圳
300492,山鼎设计,深圳
zh0001,蛋卷斗牛二八轮动,自定义
zh0002,蛋卷安睡计划,自定义
zh0003,蛋卷安睡全天候（海外计划）,自定义
zh0004,蛋卷安睡全天候（海外计划）2,自定义
zh0005,且慢八心八箭,自定义
zh0006,基金豆微笑定投,自定义
zh0007,中长线白马第五期,自定义
zh0008,兴全稳健1号,自定义
zh0009,且慢短融债,自定义
zh0010,fyf京东放心稳增组合,自定义
hb09002,货币-大成现金增利,自定义
zh0011,谱蓝,自定义
