机构,户头,名称,投入,购入时间,到期时间,利息类型,优惠,投资类别,年化率,说明,已完成
蚂蚁聚宝,czh,余额宝,8911.53,2016/8/31,2016/12/31,复利,0,基金/货币基金,0.025,,F
蚂蚁聚宝,czh,招财宝-中小企业贷2015061755499897,10000,2015/6/17,2017/6/16,一次性还本付息,0,p2p/可变现标,0.073,,F
蚂蚁聚宝,czh,招财宝-个人贷279479,20000,2014/12/15,2017/11/27,一次性还本付息,0,p2p/可变现标,0.0701,,F
陆金所,czh,稳盈安e15022702333,19015.73,2015/2/27,2017/12/8,按月等额本息,0,p2p/可变现标,0.0735,,F
陆金所,czh,稳盈安e15052504673,40000,2015/5/30,2018/5/29,按月等额本息,0,p2p/可变现标,0.084,,F
陆金所,czh,稳盈安e15052806433,10000,2015/6/2,2018/6/3,按月等额本息,0,p2p/可变现标,0.084,,F
陆金所,czh,稳盈安e15052707954,10000,2015/6/5,2018/6/6,按月等额本息,0,p2p/可变现标,0.084,,F
陆金所,czh,点金计划稳盈安e16032909710,10000,2016/3/29,2017/3/30,一次性还本付息,0,p2p/理财计划,0.088,,F
陆金所,czh,点金计划稳盈安e16032324856,10000,2016/3/29,2017/3/30,一次性还本付息,0,p2p/理财计划,0.088,,F
陆金所,czh,点金计划稳盈安e16033113005,30000,2016/4/1,2017/4/2,一次性还本付息,0,p2p/理财计划,0.09,,F
陆金所,czh,点金计划稳盈安e16042523717,50000,2016/4/26,2017/4/26,一次性还本付息,0,p2p/理财计划,0.092,,F
陆金所,czh,智能宝,10000,2016/9/29,2016/12/23,一次性还本付息,0,p2p/活期p2p,0.0375,,F
京东,fyf,前海人寿聚富三号,100000,2016/10/1,2016/12/31,一次性还本付息,0,保险理财/万能险,0.059,,F
京东,fyf,珠江安赢一号终身寿险,100000,2015/3/2,2016/12/31,一次性还本付息,0,保险理财/万能险,0.069,,F
京东,fyf,金点点-稳稳赚CQFAE006048,100000,2015/9/1,2017/9/1,一次性还本付息,0,平台固收/金融机构理财,0.085,,F
京东,czh,小白天天盈（渤海人寿年金险）,40000,2015/11/19,2016/11/19,一次性还本付息,0,保险理财/万能险,0.07,(ok)121天后转3%收益至小白账户,F
京东,czh,小白天天盈（渤海人寿年金险）,20000,2015/11/19,2016/11/19,一次性还本付息,0,保险理财/万能险,0.07,(ok)121天后转3%收益至小白账户,F
京东,fyf,方金国--京恒年年盈（中新大东方财富双盈4号两全保险）,100000,2016/1/11,2017/1/10,一次性还本付息,0,保险理财/万能险,0.07,,F
京东,czh,【恒大人寿官方旗舰店】京恒年年盈,50000,2016/2/26,2017/2/25,一次性还本付息,0,保险理财/万能险,0.069,,F
京东,fyf,京东小白 弘康在线理财两全保险,123682.94,2016/8/6,2016/12/30,复利,0,保险理财/投资连结险活期,0.039,,F
京东,fyf,京弘九月盈,50000,2016/6/13,2017/3/10,复利,0,保险理财/投资连结险定期,0.051,,F
京东,fyf,聚财京穗宝5号理财计划057,50000,2016/6/13,2016/12/16,一次性还本付息,0,平台固收/金融机构理财,0.052,,F
凤凰,czh,凤锐通-ZDSD-201503-0114 ,5000,2015/3/11,2017/3/12,按月等额本息,0,p2p/可变现标,0.105,,F
凤凰,czh,凤溢盈-SBJT-201602-0068,5000,2016/2/27,2017/3/4,按月付息到期还本,0,p2p/可变现标,0.085,,F
凤凰,czh,凤锐通-ZDSD-201603-0756,1600,2016/3/15,2017/3/15,按月等额本息,0,p2p/可变现标,0.095,,F
凤凰,czh,凤锐通-ZDSD-201603-0790,20000,2016/3/16,2017/3/16,按月等额本息,0,p2p/可变现标,0.095,,F
凤凰,czh,凤溢盈-WHXY-201603-0015,3000,2016/3/19,2017/3/21,按月等额本息,30,p2p/可变现标,0.085,（ok)30元,F
凤凰,czh,凤溢盈-WHXY-201604-0090,7000,2016/4/22,2017/4/22,按月等额本息,0,p2p/可变现标,0.095,,F
搜易贷,czh,信易贷XAJ150683,1107,2015/3/23,2017/3/23,按月等额本息,0,p2p/可变现标,0.13,,F
搜易贷,czh,信易贷XJX15HBKF,999,2015/5/26,2017/5/26,按月等额本息,0,p2p/可变现标,0.13,,F
搜易贷,czh,信易贷XYF15GND6,20000,2015/6/3,2017/6/3,按月等额本息,0,p2p/可变现标,0.13,,F
搜易贷,czh,房易贷SYS15PVBY,1998,2015/7/6,2018/7/5,按月等额本息,0,p2p/可变现标,0.13,,F
搜易贷,czh,信易贷XXY168Z4M,5000,2016/4/25,2017/4/26,按月付息到期还本,0,p2p/可变现标,0.1,,F
拍拍贷,czh,天猫实力卖家11次诚信借款有实体店,5000,2016/5/4,2016/11/4,按月等额本息,0,p2p/可变现标,0.14,,F
拍拍贷,czh,彩虹计划12个月,5000,2016/5/5,2017/5/9,一次性还本付息,0,p2p/理财计划,0.093,,F
拍拍贷,czh,彩虹计划12个月,15000,2016/6/6,2017/6/10,一次性还本付息,0,p2p/理财计划,0.1,,F
宜人贷,czh,宜定盈24月期,5000,2016/5/18,2018/5/18,一次性还本付息,0,p2p/理财计划,0.092,,F
宜人贷,czh,宜定盈24月期,5000,2016/5/31,2018/5/31,一次性还本付息,0,p2p/理财计划,0.102,,F
宜人贷,czh,宜定盈24月期,10000,2016/6/12,2018/6/12,一次性还本付息,53,p2p/理财计划,0.092,（ok）优惠券53元,F
宜人贷,czh,宜定盈24月期,5000,2016/6/23,2018/6/23,一次性还本付息,47,p2p/理财计划,0.092,（ok）优惠券45+2元,F
宜人贷,czh,宜定盈24月期,20000,2016/6/23,2018/6/23,一次性还本付息,201,p2p/理财计划,0.092,（ok）优惠券199+2元,F
