机构,户头,成交数量,成交单价,成交日期,权益类持仓
蚂蚁聚宝,czh,10000,1,2015/4/23,基金/保本基金/001238博时招财一号大数据保本混合型
华泰证券,czh,1000,1.042,2016/10/21,基金/纯债/160515安丰18
蛋卷基金,czh,4960.32,1.007999484,2016/10/21,基金/纯债/160523博时安丰18定开债
蚂蚁聚宝,czh,16260,1.232,2016/1/11,基金/纯债/000402工银瑞信纯债债券A
蚂蚁聚宝,czh,16353.53,1.222,2016/1/11,基金/纯债/270048广发纯债债券A
蚂蚁聚宝,czh,257.86,1.204,2016/1/21,基金/纯债/270048广发纯债债券A
蚂蚁聚宝,czh,138.89,1.204,2016/4/18,基金/纯债/270048广发纯债债券A
蚂蚁聚宝,czh,139.12,1.204,2016/10/10,基金/纯债/270048广发纯债债券A
国泰君安,czh,100,111.458,2016/3/30,基金/纯债/511010国泰上证5年期国债ETF
蚂蚁聚宝,czh,47176.61,1.059847242,2016/3/28,基金/纯债/000563南方通利债券a
蚂蚁聚宝,czh,771.15,0,2016/3/28,基金/纯债/000563南方通利债券a
蚂蚁聚宝,czh,364.96,0,2016/10/25,基金/纯债/000563南方通利债券a
蚂蚁聚宝,czh,14449.75,1.389,2016/1/11,基金/纯债/700005平安大华添利债券A
蚂蚁聚宝,czh,19326.9,1.033,2016/1/11,基金/纯债/550018信诚优质纯债A
蚂蚁聚宝,czh,17810.27,1.126,2016/1/11,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,240.24,0,2016/4/18,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,224.23,0,2016/10/24,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,46691.62,1.070855969,2016/3/28,基金/纯债/000194银华信用四季红
蚂蚁聚宝,czh,1027.65,0,2016/3/28,基金/纯债/000194银华信用四季红
蚂蚁聚宝,czh,815.7,0,2016/7/21,基金/纯债/000194银华信用四季红
蚂蚁聚宝,czh,551.52,0,2016/10/27,基金/纯债/000194银华信用四季红
蚂蚁聚宝,czh,36990.17,1.351710468,2016/3/28,基金/纯债/519985长信纯债壹号
