机构,户头,成交数量,成交单价,成交金额,成交日期,权益类持仓
蚂蚁聚宝,czh,10000,1,1927/5/18,42117,基金/保本基金/001238博时招财一号大数据保本混合型
华泰证券,czh,1000,1.042,1902/11/7,42664,基金/纯债/160515安丰18
蛋卷基金,czh,4960.32,1.007999484,1913/9/8,42664,基金/纯债/160523博时安丰18定开债
蚂蚁聚宝,czh,16260,1.232,1954/10/3,42380,基金/纯债/000402工银瑞信纯债债券A
蚂蚁聚宝,czh,16353.53,1.222,1954/10/3,42380,基金/纯债/270048广发纯债债券A
蚂蚁聚宝,czh,257.86,1.204,1900/1/0,42390,基金/纯债/270048广发纯债债券A
蚂蚁聚宝,czh,138.89,1.204,1900/1/0,42478,基金/纯债/270048广发纯债债券A
蚂蚁聚宝,czh,139.12,1.204,1900/1/0,42653,基金/纯债/270048广发纯债债券A
国泰君安,czh,100,111.458,1930/7/17,42459,基金/纯债/511010国泰上证5年期国债ETF
蚂蚁聚宝,czh,47176.61,1.059847242,2036/11/21,42457,基金/纯债/000563南方通利债券a
蚂蚁聚宝,czh,771.15,0,1900/1/0,42457,基金/纯债/000563南方通利债券a
蚂蚁聚宝,czh,364.96,0,1900/1/0,42668,基金/纯债/000563南方通利债券a
蚂蚁聚宝,czh,14449.75,1.389,1954/10/3,42380,基金/纯债/700005平安大华添利债券A
蚂蚁聚宝,czh,19326.9,1.033,1954/10/3,42380,基金/纯债/550018信诚优质纯债A
蚂蚁聚宝,czh,17810.27,1.126,1954/10/3,42380,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,240.24,0,1900/1/0,42478,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,224.23,0,1900/1/0,42667,基金/纯债/000205易方达投资级信用债A
蚂蚁聚宝,czh,46691.62,1.070855969,2036/11/21,42457,基金/纯债/000194银华信用四季红
蚂蚁聚宝,czh,1027.65,0,1900/1/0,42457,基金/纯债/000194银华信用四季红
蚂蚁聚宝,czh,815.7,0,1900/1/0,42572,基金/纯债/000194银华信用四季红
蚂蚁聚宝,czh,551.52,0,1900/1/0,42670,基金/纯债/000194银华信用四季红
蚂蚁聚宝,czh,36990.17,1.351710468,2036/11/21,42457,基金/纯债/519985长信纯债壹号
蚂蚁聚宝,czh,3.6598,273.24,1902/9/26,42653,基金/黄金ETFI/000930博时黄金ETFI
且慢,czh,20000,1,1954/10/3,42621,基金/基金组合保守型/zh0009且慢短融债
京东,czh,10000,1,1927/5/18,42626,基金/基金组合进取型/zh0010fyf京东放心稳增组合
蛋卷基金,czh,20000,1,1954/10/3,42548,基金/基金组合进取型/zh0001蛋卷斗牛二八轮动
蚂蚁聚宝,czh,500,1,1901/5/14,42608,基金/基金组合进取型/zh0006基金豆微笑定投
蚂蚁聚宝,czh,496.2976198,1.00746,1901/5/14,42620,基金/基金组合进取型/zh0006基金豆微笑定投
蚂蚁聚宝,czh,509.0094676,0.9823,1901/5/14,42634,基金/基金组合进取型/zh0006基金豆微笑定投
蚂蚁聚宝,czh,493.2912391,1.0136,1901/5/14,42662,基金/基金组合进取型/zh0006基金豆微笑定投
